Tournament,Group,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
Chile 1962,3,3,Mexico,3,1,0,2,3,4,,2,Eliminated,0.75
Chile 1962,3,4,Spain,3,1,0,2,2,3,,2,Eliminated,0.667
Chile 1962,4,1,Hungary,3,2,1,0,8,2,,5,Advance to knockout stage,4.0
Chile 1962,4,2,England,3,1,1,1,4,3,,3,Advance to knockout stage,1.333
Chile 1962,4,3,Argentina,3,1,1,1,2,3,,3,Eliminated,0.667
Chile 1962,4,4,Bulgaria,3,0,1,2,1,7,,1,Eliminated,0.143
England 1966,1,1,England,3,2,1,0,4,0,,5,Advance to knockout stage,—
England 1966,1,2,Uruguay,3,1,2,0,2,1,,4,Advance to knockout stage,2.000
England 1966,1,3,Mexico,3,0,2,1,1,3,,2,Eliminated,0.333
England 1966,1,4,France,3,0,1,2,2,5,,1,Eliminated,0.400
England 1966,2,1,West Germany,3,2,1,0,7,1,,5,Advance to knockout stage,7.0
England 1966,2,2,Argentina,3,2,1,0,4,1,,5,Advance to knockout stage,4.0
England 1966,2,3,Spain,3,1,0,2,4,5,,2,Eliminated,0.8
England 1966,2,4,Switzerland,3,0,0,3,1,9,,0,Eliminated,0.111
England 1966,3,1,Portugal,3,3,0,0,9,2,,6,Advance to knockout stage,4.5
England 1966,3,2,Hungary,3,2,0,1,7,5,,4,Advance to knockout stage,1.4
England 1966,3,3,Brazil,3,1,0,2,4,6,,2,Eliminated,0.667
England 1966,3,4,Bulgaria,3,0,0,3,1,8,,0,Eliminated,0.125
England 1966,4,1,Soviet Union,3,3,0,0,6,1,,6,Advance to knockout stage,6.0
England 1966,4,2,North Korea,3,1,1,1,2,4,,3,Advance to knockout stage,0.5
England 1966,4,3,Italy,3,1,0,2,2,2,,2,Eliminated,1.0
England 1966,4,4,Chile,3,0,1,2,2,5,,1,Eliminated,0.4
Mexico 1970,1,1,Soviet Union,3,2,1,0,6,1,+5,5,Advance to knockout stage,
Mexico 1970,1,2,Mexico,3,2,1,0,5,0,+5,5,Advance to knockout stage,
Mexico 1970,1,3,Belgium,3,1,0,2,4,5,-1,2,Eliminated,
Mexico 1970,1,4,El Salvador,3,0,0,3,0,9,-9,0,Eliminated,
Mexico 1970,2,1,Italy,3,1,2,0,1,0,+1,4,Advance to knockout stage,
Mexico 1970,2,2,Uruguay,3,1,1,1,2,1,+1,3,Advance to knockout stage,
Mexico 1970,2,3,Sweden,3,1,1,1,2,2,0,3,Eliminated,
Mexico 1970,2,4,Israel,3,0,2,1,1,3,-2,2,Eliminated,
Mexico 1970,3,1,Brazil,3,3,0,0,8,3,+5,6,Advance to knockout stage,
Mexico 1970,3,2,England,3,2,0,1,2,1,+1,4,Advance to knockout stage,
Mexico 1970,3,3,Romania,3,1,0,2,4,5,-1,2,Eliminated,
Mexico 1970,3,4,Czechoslovakia,3,0,0,3,2,7,-5,0,Eliminated,
Mexico 1970,4,1,West Germany,3,3,0,0,10,4,+6,6,Advance to knockout stage,
Mexico 1970,4,2,Peru,3,2,0,1,7,5,+2,4,Advance to knockout stage,
Mexico 1970,4,3,Bulgaria,3,0,1,2,5,9,-4,1,Eliminated,
Mexico 1970,4,4,Morocco,3,0,1,2,2,6,-4,1,Eliminated,
West Germany 1974,1,1,East Germany,3,2,1,0,4,1,+3,5,Advance to second round,
West Germany 1974,1,2,West Germany,3,2,0,1,4,1,+3,4,Advance to second round,
West Germany 1974,1,3,Chile,3,0,2,1,1,2,-1,2,Eliminated,
West Germany 1974,1,4,Australia,3,0,1,2,0,5,-5,1,Eliminated,
West Germany 1974,2,1,Yugoslavia,3,1,2,0,10,1,+9,4,Advance to second round,
West Germany 1974,2,2,Brazil,3,1,2,0,3,0,+3,4,Advance to second round,
West Germany 1974,2,3,Scotland,3,1,2,0,3,1,+2,4,Eliminated,
West Germany 1974,2,4,Zaire,3,0,0,3,0,14,-14,0,Eliminated,
West Germany 1974,3,1,Netherlands,3,2,1,0,6,1,+5,5,Advance to second round,
West Germany 1974,3,2,Sweden,3,1,2,0,3,0,+3,4,Advance to second round,
West Germany 1974,3,3,Bulgaria,3,0,2,1,2,5,-3,2,Eliminated,
West Germany 1974,3,4,Uruguay,3,0,1,2,1,6,-5,1,Eliminated,
West Germany 1974,4,1,Poland,3,3,0,0,12,3,+9,6,Advance to second round,
West Germany 1974,4,2,Argentina,3,1,1,1,7,5,+2,3,Advance to second round,
West Germany 1974,4,3,Italy,3,1,1,1,5,4,+1,3,Eliminated,
West Germany 1974,4,4,Haiti,3,0,0,3,2,14,-12,0,Eliminated,
West Germany 1974,A,1,Netherlands,3,3,0,0,8,0,+8,6,Advance to final,
West Germany 1974,A,2,Brazil,3,2,0,1,3,3,0,4,Advance to match for third place,
West Germany 1974,A,3,East Germany,3,0,1,2,1,4,-3,1,Eliminated,
West Germany 1974,A,4,Argentina,3,0,1,2,2,7,-5,1,Eliminated,
West Germany 1974,B,1,West Germany,3,3,0,0,7,2,+5,6,Advance to final,
West Germany 1974,B,2,Poland,3,2,0,1,3,2,+1,4,Advance to match for third place,
West Germany 1974,B,3,Sweden,3,1,0,2,4,6,-2,2,Eliminated,
West Germany 1974,B,4,Yugoslavia,3,0,0,3,2,6,-4,0,Eliminated,
Argentina 1978,1,1,Italy,3,3,0,0,6,2,+4,6,Advance to second round,
Argentina 1978,1,2,Argentina,3,2,0,1,4,3,+1,4,Advance to second round,
Argentina 1978,1,3,France,3,1,0,2,5,5,0,2,Eliminated,
Argentina 1978,1,4,Hungary,3,0,0,3,3,8,-5,0,Eliminated,
Argentina 1978,2,1,Poland,3,2,1,0,4,1,+3,5,Advance to second round,
Argentina 1978,2,2,West Germany,3,1,2,0,6,0,+6,4,Advance to second round,
Argentina 1978,2,3,Tunisia,3,1,1,1,3,2,+1,3,Eliminated,
Argentina 1978,2,4,Mexico,3,0,0,3,2,12,-10,0,Eliminated,
Argentina 1978,3,1,Austria,3,2,0,1,3,2,+1,4,Advance to second round,
Argentina 1978,3,2,Brazil,3,1,2,0,2,1,+1,4,Advance to second round,
Argentina 1978,3,3,Spain,3,1,1,1,2,2,0,3,Eliminated,
Argentina 1978,3,4,Sweden,3,0,1,2,1,3,-2,1,Eliminated,
Argentina 1978,4,1,Peru,3,2,1,0,7,2,+5,5,Advance to second round,
Argentina 1978,4,2,Netherlands,3,1,1,1,5,3,+2,3,Advance to second round,
Argentina 1978,4,3,Scotland,3,1,1,1,5,6,-1,3,Eliminated,
