Group_ID,Team_ID,Tournament_ID,Tournament,Group,GSRound,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Result,GR
57,MEX,SWE-58,Sweden 1958,3,1,4,Mexico,3,0,1,2,1,8,0,1,Eliminated,0.125
58,BRA,SWE-58,Sweden 1958,4,1,1,Brazil,3,2,1,0,5,0,0,5,Advanced,—
59,SOV,SWE-58,Sweden 1958,4,1,2,Soviet Union,3,1,1,1,4,4,0,3,Advanced,1.000
60,ENG,SWE-58,Sweden 1958,4,1,3,England,3,0,3,0,4,4,0,3,Eliminated,1.000
61,AUT,SWE-58,Sweden 1958,4,1,4,Austria,3,0,1,2,2,7,0,1,Eliminated,0.286
62,SOV,CHI-62,Chile 1962,1,1,1,Soviet Union,3,2,1,0,8,5,0,5,Advanced,1.6
63,YUG,CHI-62,Chile 1962,1,1,2,Yugoslavia,3,2,0,1,8,3,0,4,Advanced,2.667
64,URU,CHI-62,Chile 1962,1,1,3,Uruguay,3,1,0,2,4,6,0,2,Eliminated,0.667
65,COL,CHI-62,Chile 1962,1,1,4,Colombia,3,0,1,2,5,11,0,1,Eliminated,0.455
66,WES,CHI-62,Chile 1962,2,1,1,West Germany,3,2,1,0,4,1,0,5,Advanced,4.0
67,CHI,CHI-62,Chile 1962,2,1,2,Chile,3,2,0,1,5,3,0,4,Advanced,1.667
68,ITA,CHI-62,Chile 1962,2,1,3,Italy,3,1,1,1,3,2,0,3,Eliminated,1.5
69,SWI,CHI-62,Chile 1962,2,1,4,Switzerland,3,0,0,3,2,8,0,0,Eliminated,0.25
70,BRA,CHI-62,Chile 1962,3,1,1,Brazil,3,2,1,0,4,1,0,5,Advanced,4.0
71,CZE,CHI-62,Chile 1962,3,1,2,Czechoslovakia,3,1,1,1,2,3,0,3,Advanced,0.667
72,MEX,CHI-62,Chile 1962,3,1,3,Mexico,3,1,0,2,3,4,0,2,Eliminated,0.75
73,SPA,CHI-62,Chile 1962,3,1,4,Spain,3,1,0,2,2,3,0,2,Eliminated,0.667
