Tournament,Stage,Group,Home,Away,Score,HomeScore,AwayScore,ExtraTime,GoldenGoal,Penalties,HomePKs,AwayPKs,Winner,Referee,Location,Attendance,Date,Time
Brazil 2014,Round of 16,NaN,Netherlands,Mexico,2-1,2,1,False,False,False,,,Netherlands,Pedro Proença,Estádio Castelão,"58,817",29 June 2014,13:00
Brazil 2014,Round of 16,NaN,Costa Rica,Greece,1-1(a.e.t.),1,1,True,False,True,5,3,Costa Rica,Ben Williams,Itaipava Arena Pernambuco,"41,242",29 June 2014,17:00
Brazil 2014,Round of 16,NaN,France,Nigeria,2-0,2,0,False,False,False,,,France,Mark Geiger,Estádio Nacional Mané Garrincha,"67,882",30 June 2014,13:00
Brazil 2014,Round of 16,NaN,Germany,Algeria,2-1(a.e.t.),2,1,True,False,False,,,Germany,Sandro Ricci,Estádio Beira-Rio,"43,063",30 June 2014,17:00
Brazil 2014,Round of 16,NaN,Argentina,Switzerland,1-0(a.e.t.),1,0,True,False,False,,,Argentina,Jonas Eriksson,Arena Corinthians,"63,255",1 July 2014,13:00
Brazil 2014,Round of 16,NaN,Belgium,United States,2-1(a.e.t.),2,1,True,False,False,,,Belgium,Djamel Haimoudi,Itaipava Arena Fonte Nova,"51,227",1 July 2014,17:00
Brazil 2014,Quarter-finals,NaN,France,Germany,0-1,0,1,False,False,False,,,Germany,Néstor Pitana,Estádio do Maracanã,"74,240",4 July 2014,13:00
Brazil 2014,Quarter-finals,NaN,Brazil,Colombia,2-1,2,1,False,False,False,,,Brazil,Carlos Velasco Carballo,Estádio Castelão,"60,342",4 July 2014,17:00
Brazil 2014,Quarter-finals,NaN,Argentina,Belgium,1-0,1,0,False,False,False,,,Argentina,Nicola Rizzoli,Estádio Nacional Mané Garrincha,"68,551",5 July 2014,13:00
Brazil 2014,Quarter-finals,NaN,Netherlands,Costa Rica,0-0(a.e.t.),0,0,True,False,True,4,3,Netherlands,Ravshan Irmatov,Itaipava Arena Fonte Nova,"51,179",5 July 2014,17:00
Brazil 2014,Semi-finals,NaN,Brazil,Germany,1-7,1,7,False,False,False,,,Germany,Marco Antonio Rodríguez,Estádio Mineirão,"58,141",8 July 2014,17:00
Brazil 2014,Semi-finals,NaN,Netherlands,Argentina,0-0(a.e.t.),0,0,True,False,True,2,4,Argentina,Cüneyt Çakır,Arena Corinthians,"63,267",9 July 2014,17:00
Brazil 2014,Third Place Match,NaN,Brazil,Netherlands,0-3,0,3,False,False,False,,,Netherlands,Djamel Haimoudi,Estádio Nacional Mané Garrincha,"68,034",12 July 2014,17:00
Brazil 2014,Final,NaN,Germany,Argentina,1-0(a.e.t.),1,0,True,False,False,,,Germany,Nicola Rizzoli,Maracanã Stadium,"74,738",13 July 2014,16:00
Russia 2018,Group Stage,A,Russia,Saudi Arabia,5-0,5,0,False,False,False,,,Russia,Néstor Pitana,Luzhniki Stadium,"78,011[143]",14 June 2018(2018-06-14),18:00
Russia 2018,Group Stage,A,Egypt,Uruguay,0-1,0,1,False,False,False,,,Uruguay,Björn Kuipers,Central Stadium,"27,015[144]",15 June 2018(2018-06-15),17:00
Russia 2018,Group Stage,A,Russia,Egypt,3-1,3,1,False,False,False,,,Russia,Enrique Cáceres,Krestovsky Stadium,"64,468[145]",19 June 2018(2018-06-19),21:00
Russia 2018,Group Stage,A,Uruguay,Saudi Arabia,1-0,1,0,False,False,False,,,Uruguay,Clément Turpin,Rostov Arena,"42,678[146]",20 June 2018(2018-06-20),18:00
Russia 2018,Group Stage,A,Uruguay,Russia,3-0,3,0,False,False,False,,,Uruguay,Malang Diedhiou,Cosmos Arena,"41,970[147]",25 June 2018(2018-06-25),18:00
Russia 2018,Group Stage,A,Saudi Arabia,Egypt,2-1,2,1,False,False,False,,,Saudi Arabia,Wilmar Roldán,Volgograd Arena,"36,823[148]",25 June 2018(2018-06-25),17:00
Russia 2018,Group Stage,B,Morocco,Iran,0-1,0,1,False,False,False,,,Iran,Cüneyt Çakır,Krestovsky Stadium,"62,548[149]",15 June 2018(2018-06-15),18:00
Russia 2018,Group Stage,B,Portugal,Spain,3-3,3,3,False,False,False,,,Draw,Gianluca Rocchi,Fisht Olympic Stadium,"43,866[150]",15 June 2018(2018-06-15),21:00
Russia 2018,Group Stage,B,Portugal,Morocco,1-0,1,0,False,False,False,,,Portugal,Mark Geiger,Luzhniki Stadium,"78,011[151]",20 June 2018(2018-06-20),15:00
Russia 2018,Group Stage,B,Iran,Spain,0-1,0,1,False,False,False,,,Spain,Andrés Cunha,Kazan Arena,"42,718[152]",20 June 2018(2018-06-20),21:00
Russia 2018,Group Stage,B,Iran,Portugal,1-1,1,1,False,False,False,,,Draw,Enrique Cáceres,Mordovia Arena,"41,685[153]",25 June 2018(2018-06-25),21:00
Russia 2018,Group Stage,B,Spain,Morocco,2-2,2,2,False,False,False,,,Draw,Ravshan Irmatov,Kaliningrad Stadium,"33,973[154]",25 June 2018(2018-06-25),20:00
Russia 2018,Group Stage,C,France,Australia,2-1,2,1,False,False,False,,,France,Andrés Cunha,Kazan Arena,"41,279[155]",16 June 2018(2018-06-16),13:00
Russia 2018,Group Stage,C,Peru,Denmark,0-1,0,1,False,False,False,,,Denmark,Bakary Gassama,Mordovia Arena,"40,502[156]",16 June 2018(2018-06-16),19:00
Russia 2018,Group Stage,C,Denmark,Australia,1-1,1,1,False,False,False,,,Draw,Antonio Mateu Lahoz,Cosmos Arena,"40,727[157]",21 June 2018(2018-06-21),16:00
Russia 2018,Group Stage,C,France,Peru,1-0,1,0,False,False,False,,,France,Mohammed Abdulla Hassan Mohamed,Central Stadium,"32,789[158]",21 June 2018(2018-06-21),20:00
Russia 2018,Group Stage,C,Denmark,France,0-0,0,0,False,False,False,,,Draw,Sandro Ricci,Luzhniki Stadium,"78,011[159]",26 June 2018(2018-06-26),17:00
Russia 2018,Group Stage,C,Australia,Peru,0-2,0,2,False,False,False,,,Peru,Sergei Karasev,Fisht Olympic Stadium,"44,073[160]",26 June 2018(2018-06-26),17:00
Russia 2018,Group Stage,D,Argentina,Iceland,1-1,1,1,False,False,False,,,Draw,Szymon Marciniak,Otkritie Arena,"44,190[161]",16 June 2018(2018-06-16),16:00
Russia 2018,Group Stage,D,Croatia,Nigeria,2-0,2,0,False,False,False,,,Croatia,Sandro Ricci,Kaliningrad Stadium,"31,136[162]",16 June 2018(2018-06-16),21:00
Russia 2018,Group Stage,D,Argentina,Croatia,0-3,0,3,False,False,False,,,Croatia,Ravshan Irmatov,Nizhny Novgorod Stadium,"43,319[163]",21 June 2018(2018-06-21),21:00
Russia 2018,Group Stage,D,Nigeria,Iceland,2-0,2,0,False,False,False,,,Nigeria,Matthew Conger,Volgograd Arena,"40,904[164]",22 June 2018(2018-06-22),18:00
Russia 2018,Group Stage,D,Nigeria,Argentina,1-2,1,2,False,False,False,,,Argentina,Cüneyt Çakır,Krestovsky Stadium,"64,468[165]",26 June 2018(2018-06-26),21:00
Russia 2018,Group Stage,D,Iceland,Croatia,1-2,1,2,False,False,False,,,Croatia,Antonio Mateu Lahoz,Rostov Arena,"43,472[166]",26 June 2018(2018-06-26),21:00
Russia 2018,Group Stage,E,Costa Rica,Serbia,0-1,0,1,False,False,False,,,Serbia,Malang Diedhiou,Cosmos Arena,"41,432[167]",17 June 2018(2018-06-17),16:00
Russia 2018,Group Stage,E,Brazil,Switzerland,1-1,1,1,False,False,False,,,Draw,César Arturo Ramos,Rostov Arena,"43,109[168]",17 June 2018(2018-06-17),21:00
Russia 2018,Group Stage,E,Brazil,Costa Rica,2-0,2,0,False,False,False,,,Brazil,Björn Kuipers,Krestovsky Stadium,"64,468[169]",22 June 2018(2018-06-22),15:00
Russia 2018,Group Stage,E,Serbia,Switzerland,1-2,1,2,False,False,False,,,Switzerland,Felix Brych,Kaliningrad Stadium,"33,167[170]",22 June 2018(2018-06-22),20:00
Russia 2018,Group Stage,E,Serbia,Brazil,0-2,0,2,False,False,False,,,Brazil,Alireza Faghani,Otkritie Arena,"44,190[171]",27 June 2018(2018-06-27),21:00
Russia 2018,Group Stage,E,Switzerland,Costa Rica,2-2,2,2,False,False,False,,,Draw,Clément Turpin,Nizhny Novgorod Stadium,"43,319[172]",27 June 2018(2018-06-27),21:00
Russia 2018,Group Stage,F,Germany,Mexico,0-1,0,1,False,False,False,,,Mexico,Alireza Faghani,Luzhniki Stadium,"78,011[173]",17 June 2018(2018-06-17),18:00
Russia 2018,Group Stage,F,Sweden,South Korea,1-0,1,0,False,False,False,,,Sweden,Joel Aguilar,Nizhny Novgorod Stadium,"42,300[174]",18 June 2018(2018-06-18),15:00
Russia 2018,Group Stage,F,South Korea,Mexico,1-2,1,2,False,False,False,,,Mexico,Milorad Mažić,Rostov Arena,"43,472[175]",23 June 2018(2018-06-23),18:00
Russia 2018,Group Stage,F,Germany,Sweden,2-1,2,1,False,False,False,,,Germany,Szymon Marciniak,Fisht Olympic Stadium,"44,287[176]",23 June 2018(2018-06-23),21:00
Russia 2018,Group Stage,F,South Korea,Germany,2-0,2,0,False,False,False,,,South Korea,Mark Geiger,Kazan Arena,"41,835[177]",27 June 2018(2018-06-27),17:00
Russia 2018,Group Stage,F,Mexico,Sweden,0-3,0,3,False,False,False,,,Sweden,Néstor Pitana,Central Stadium,"33,061[178]",27 June 2018(2018-06-27),19:00
Russia 2018,Group Stage,G,Belgium,Panama,3-0,3,0,False,False,False,,,Belgium,Janny Sikazwe,Fisht Olympic Stadium,"43,257[179]",18 June 2018(2018-06-18),18:00
Russia 2018,Group Stage,G,Tunisia,England,1-2,1,2,False,False,False,,,England,Wilmar Roldán,Volgograd Arena,"41,064[180]",18 June 2018(2018-06-18),21:00
Russia 2018,Group Stage,G,Belgium,Tunisia,5-2,5,2,False,False,False,,,Belgium,Jair Marrufo,Otkritie Arena,"44,190[181]",23 June 2018(2018-06-23),15:00
Russia 2018,Group Stage,G,England,Panama,6-1,6,1,False,False,False,,,England,Gehad Grisha,Nizhny Novgorod Stadium,"43,319[182]",24 June 2018(2018-06-24),15:00
Russia 2018,Group Stage,G,England,Belgium,0-1,0,1,False,False,False,,,Belgium,Damir Skomina,Kaliningrad Stadium,"33,973[183]",28 June 2018(2018-06-28),20:00
Russia 2018,Group Stage,G,Panama,Tunisia,1-2,1,2,False,False,False,,,Tunisia,Nawaf Shukralla,Mordovia Arena,"37,168[184]",28 June 2018(2018-06-28),21:00
Russia 2018,Group Stage,H,Colombia,Japan,1-2,1,2,False,False,False,,,Japan,Damir Skomina,Mordovia Arena,"40,842[185]",19 June 2018(2018-06-19),15:00
Russia 2018,Group Stage,H,Poland,Senegal,1-2,1,2,False,False,False,,,Senegal,Nawaf Shukralla,Otkritie Arena,"44,190[186]",19 June 2018(2018-06-19),18:00
Russia 2018,Group Stage,H,Japan,Senegal,2-2,2,2,False,False,False,,,Draw,Gianluca Rocchi,Central Stadium,"32,572[187]",24 June 2018(2018-06-24),20:00
Russia 2018,Group Stage,H,Poland,Colombia,0-3,0,3,False,False,False,,,Colombia,César Arturo Ramos,Kazan Arena,"42,873[188]",24 June 2018(2018-06-24),21:00
Russia 2018,Group Stage,H,Japan,Poland,0-1,0,1,False,False,False,,,Poland,Janny Sikazwe,Volgograd Arena,"42,189[189]",28 June 2018(2018-06-28),17:00
Russia 2018,Group Stage,H,Senegal,Colombia,0-1,0,1,False,False,False,,,Colombia,Milorad Mažić,Cosmos Arena,"41,970[190]",28 June 2018(2018-06-28),18:00
Russia 2018,Round of 16,NaN,France,Argentina,4-3,4,3,False,False,False,,,France,Alireza Faghani,Kazan Arena,"42,873[191]",30 June 2018(2018-06-30),17:00
Russia 2018,Round of 16,NaN,Uruguay,Portugal,2-1,2,1,False,False,False,,,Uruguay,César Arturo Ramos,Fisht Olympic Stadium,"44,287[192]",30 June 2018(2018-06-30),21:00
Russia 2018,Round of 16,NaN,Spain,Russia,1-1(a.e.t.),1,1,True,False,True,3,4,Russia,Björn Kuipers,Luzhniki Stadium,"78,011[193]",1 July 2018(2018-07-01),17:00
Russia 2018,Round of 16,NaN,Croatia,Denmark,1-1(a.e.t.),1,1,True,False,True,3,2,Croatia,Néstor Pitana,Nizhny Novgorod Stadium,"40,851[194]",1 July 2018(2018-07-01),21:00
Russia 2018,Round of 16,NaN,Brazil,Mexico,2-0,2,0,False,False,False,,,Brazil,Gianluca Rocchi,Cosmos Arena,"41,970[195]",2 July 2018(2018-07-02),18:00
Russia 2018,Round of 16,NaN,Belgium,Japan,3-2,3,2,False,False,False,,,Belgium,Malang Diedhiou,Rostov Arena,"41,466[196]",2 July 2018(2018-07-02),21:00
Russia 2018,Round of 16,NaN,Sweden,Switzerland,1-0,1,0,False,False,False,,,Sweden,Damir Skomina,Krestovsky Stadium,"64,042[197]",3 July 2018(2018-07-03),17:00
Russia 2018,Round of 16,NaN,Colombia,England,1-1(a.e.t.),1,1,True,False,True,3,4,England,Mark Geiger,Otkritie Arena,"44,190[198]",3 July 2018(2018-07-03),21:00
Russia 2018,Quarter-finals,NaN,Uruguay,France,0-2,0,2,False,False,False,,,France,Néstor Pitana,Nizhny Novgorod Stadium,"43,319[199]",6 July 2018(2018-07-06),17:00
Russia 2018,Quarter-finals,NaN,Brazil,Belgium,1-2,1,2,False,False,False,,,Belgium,Milorad Mažić,Kazan Arena,"42,873[200]",6 July 2018(2018-07-06),21:00
Russia 2018,Quarter-finals,NaN,Sweden,England,0-2,0,2,False,False,False,,,England,Björn Kuipers,Cosmos Arena,"39,991[201]",7 July 2018(2018-07-07),18:00
Russia 2018,Quarter-finals,NaN,Russia,Croatia,2-2(a.e.t.),2,2,True,False,True,3,4,Croatia,Sandro Ricci,Fisht Olympic Stadium,"44,287[202]",7 July 2018(2018-07-07),21:00
Russia 2018,Semi-finals,NaN,France,Belgium,1-0,1,0,False,False,False,,,France,Andrés Cunha,Krestovsky Stadium,"64,286[203]",10 July 2018(2018-07-10),21:00
Russia 2018,Semi-finals,NaN,Croatia,England,2-1(a.e.t.),2,1,True,False,False,,,Croatia,Cüneyt Çakır,Luzhniki Stadium,"78,011[204]",11 July 2018(2018-07-11),21:00
Russia 2018,Third Place Match,NaN,Belgium,England,2-0,2,0,False,False,False,,,Belgium,Alireza Faghani,Krestovsky Stadium,"64,406[205]",14 July 2018(2018-07-14),17:00
Russia 2018,Final,NaN,France,Croatia,4-2,4,2,False,False,False,,,France,Néstor Pitana,Luzhniki Stadium,"78,011",15 July 2018(2018-07-15),18:00
Quatar 2022,Group Stage,A,Qatar,Ecuador,0-2,0,2,False,False,False,,,Ecuador,Daniele Orsato,Al Bayt Stadium,"67,372",20 November 2022(2022-11-20),19:00
Quatar 2022,Group Stage,A,Senegal,Netherlands,0-2,0,2,False,False,False,,,Netherlands,Wilton Sampaio,Al Thumama Stadium,"41,721",21 November 2022(2022-11-21),19:00
Quatar 2022,Group Stage,A,Qatar,Senegal,1-3,1,3,False,False,False,,,Senegal,Antonio Mateu Lahoz,Al Thumama Stadium,"41,797",25 November 2022(2022-11-25),16:00
Quatar 2022,Group Stage,A,Netherlands,Ecuador,1-1,1,1,False,False,False,,,Draw,Mustapha Ghorbal,Khalifa International Stadium,"44,833",25 November 2022(2022-11-25),19:00
Quatar 2022,Group Stage,A,Ecuador,Senegal,1-2,1,2,False,False,False,,,Senegal,Clément Turpin,Khalifa International Stadium,"44,569",29 November 2022(2022-11-29),18:00
Quatar 2022,Group Stage,A,Netherlands,Qatar,2-0,2,0,False,False,False,,,Netherlands,Bakary Gassama,Al Bayt Stadium,"66,784",29 November 2022(2022-11-29),18:00
Quatar 2022,Group Stage,B,England,Iran,6-2,6,2,False,False,False,,,England,Raphael Claus,Khalifa International Stadium,"45,334",21 November 2022(2022-11-21),16:00
Quatar 2022,Group Stage,B,United States,Wales,1-1,1,1,False,False,False,,,Draw,Abdulrahman Al-Jassim,Ahmad bin Ali Stadium,"43,418",21 November 2022(2022-11-21),22:00
Quatar 2022,Group Stage,B,Wales,Iran,0-2,0,2,False,False,False,,,Iran,Mario Escobar,Ahmad bin Ali Stadium,"40,875",25 November 2022(2022-11-25),13:00
Quatar 2022,Group Stage,B,England,United States,0-0,0,0,False,False,False,,,Draw,Jesús Valenzuela,Al Bayt Stadium,"68,463",25 November 2022(2022-11-25),22:00
Quatar 2022,Group Stage,B,Wales,England,0-3,0,3,False,False,False,,,England,Slavko Vinčić,Ahmad bin Ali Stadium,"44,297",29 November 2022(2022-11-29),22:00
Quatar 2022,Group Stage,B,Iran,United States,0-1,0,1,False,False,False,,,United States,Antonio Mateu Lahoz,Al Thumama Stadium,"42,127",29 November 2022(2022-11-29),22:00
Quatar 2022,Group Stage,C,Argentina,Saudi Arabia,1-2,1,2,False,False,False,,,Saudi Arabia,Slavko Vinčić,Lusail Stadium,"88,012",22 November 2022(2022-11-22),13:00
Quatar 2022,Group Stage,C,Mexico,Poland,0-0,0,0,False,False,False,,,Draw,Chris Beath,Stadium 974,"39,369",22 November 2022(2022-11-22),19:00
Quatar 2022,Group Stage,C,Poland,Saudi Arabia,2-0,2,0,False,False,False,,,Poland,Wilton Sampaio,Education City Stadium,"44,259",26 November 2022(2022-11-26),16:00
Quatar 2022,Group Stage,C,Argentina,Mexico,2-0,2,0,False,False,False,,,Argentina,Daniele Orsato,Lusail Stadium,"88,966",26 November 2022(2022-11-26),22:00
Quatar 2022,Group Stage,C,Poland,Argentina,0-2,0,2,False,False,False,,,Argentina,Danny Makkelie,Stadium 974,"44,089",30 November 2022(2022-11-30),22:00
Quatar 2022,Group Stage,C,Saudi Arabia,Mexico,1-2,1,2,False,False,False,,,Mexico,Michael Oliver,Lusail Stadium,"84,985",30 November 2022(2022-11-30),22:00
Quatar 2022,Group Stage,D,Denmark,Tunisia,0-0,0,0,False,False,False,,,Draw,César Arturo Ramos,Education City Stadium,"42,925",22 November 2022(2022-11-22),16:00
Quatar 2022,Group Stage,D,France,Australia,4-1,4,1,False,False,False,,,France,Victor Gomes,Al Janoub Stadium,"40,875",22 November 2022(2022-11-22),22:00
Quatar 2022,Group Stage,D,Tunisia,Australia,0-1,0,1,False,False,False,,,Australia,Daniel Siebert,Al Janoub Stadium,"41,823",26 November 2022(2022-11-26),13:00
Quatar 2022,Group Stage,D,France,Denmark,2-1,2,1,False,False,False,,,France,Szymon Marciniak,Stadium 974,"42,860",26 November 2022(2022-11-26),19:00
Quatar 2022,Group Stage,D,Australia,Denmark,1-0,1,0,False,False,False,,,Australia,Mustapha Ghorbal,Al Janoub Stadium,"41,232",30 November 2022(2022-11-30),18:00
Quatar 2022,Group Stage,D,Tunisia,France,1-0,1,0,False,False,False,,,Tunisia,Matthew Conger,Education City Stadium,"43,627",30 November 2022(2022-11-30),18:00
Quatar 2022,Group Stage,E,Germany,Japan,1-2,1,2,False,False,False,,,Japan,Iván Barton,Khalifa International Stadium,"42,608",23 November 2022(2022-11-23),16:00
Quatar 2022,Group Stage,E,Spain,Costa Rica,7-0,7,0,False,False,False,,,Spain,Mohammed Abdulla Hassan Mohamed,Al Thumama Stadium,"40,013",23 November 2022(2022-11-23),19:00
Quatar 2022,Group Stage,E,Japan,Costa Rica,0-1,0,1,False,False,False,,,Costa Rica,Michael Oliver,Ahmad bin Ali Stadium,"41,479",27 November 2022(2022-11-27),13:00
Quatar 2022,Group Stage,E,Spain,Germany,1-1,1,1,False,False,False,,,Draw,Danny Makkelie,Al Bayt Stadium,"68,895",27 November 2022(2022-11-27),22:00
Quatar 2022,Group Stage,E,Japan,Spain,2-1,2,1,False,False,False,,,Japan,Victor Gomes,Khalifa International Stadium,"44,851",1 December 2022(2022-12-01),22:00
Quatar 2022,Group Stage,E,Costa Rica,Germany,2-4,2,4,False,False,False,,,Germany,Stéphanie Frappart,Al Bayt Stadium,"67,054",1 December 2022(2022-12-01),22:00
Quatar 2022,Group Stage,F,Morocco,Croatia,0-0,0,0,False,False,False,,,Draw,Fernando Rapallini,Al Bayt Stadium,"59,407",23 November 2022(2022-11-23),13:00
Quatar 2022,Group Stage,F,Belgium,Canada,1-0,1,0,False,False,False,,,Belgium,Janny Sikazwe,Ahmad bin Ali Stadium,"40,432",23 November 2022(2022-11-23),22:00
Quatar 2022,Group Stage,F,Belgium,Morocco,0-2,0,2,False,False,False,,,Morocco,César Arturo Ramos,Al Thumama Stadium,"43,738",27 November 2022(2022-11-27),16:00
Quatar 2022,Group Stage,F,Croatia,Canada,4-1,4,1,False,False,False,,,Croatia,Andrés Matonte,Khalifa International Stadium,"44,374",27 November 2022(2022-11-27),19:00
Quatar 2022,Group Stage,F,Croatia,Belgium,0-0,0,0,False,False,False,,,Draw,Anthony Taylor,Ahmad bin Ali Stadium,"43,984",1 December 2022(2022-12-01),18:00
Quatar 2022,Group Stage,F,Canada,Morocco,1-2,1,2,False,False,False,,,Morocco,Raphael Claus,Al Thumama Stadium,"43,102",1 December 2022(2022-12-01),18:00
Quatar 2022,Group Stage,G,Switzerland,Cameroon,1-0,1,0,False,False,False,,,Switzerland,Facundo Tello,Al Janoub Stadium,"39,089",24 November 2022(2022-11-24),13:00
Quatar 2022,Group Stage,G,Brazil,Serbia,2-0,2,0,False,False,False,,,Brazil,Alireza Faghani,Lusail Stadium,"88,103",24 November 2022(2022-11-24),22:00
Quatar 2022,Group Stage,G,Cameroon,Serbia,3-3,3,3,False,False,False,,,Draw,Mohammed Abdulla Hassan Mohamed,Al Janoub Stadium,"39,789",28 November 2022(2022-11-28),13:00
Quatar 2022,Group Stage,G,Brazil,Switzerland,1-0,1,0,False,False,False,,,Brazil,Iván Barton,Stadium 974,"43,649",28 November 2022(2022-11-28),19:00
Quatar 2022,Group Stage,G,Serbia,Switzerland,2-3,2,3,False,False,False,,,Switzerland,Fernando Rapallini,Stadium 974,"41,378",2 December 2022(2022-12-02),22:00
Quatar 2022,Group Stage,G,Cameroon,Brazil,1-0,1,0,False,False,False,,,Cameroon,Ismail Elfath,Lusail Stadium,"85,986",2 December 2022(2022-12-02),22:00
Quatar 2022,Group Stage,H,Uruguay,South Korea,0-0,0,0,False,False,False,,,Draw,Clément Turpin,Education City Stadium,"41,663",24 November 2022(2022-11-24),16:00
Quatar 2022,Group Stage,H,Portugal,Ghana,3-2,3,2,False,False,False,,,Portugal,Ismail Elfath,Stadium 974,"42,662",24 November 2022(2022-11-24),19:00
Quatar 2022,Group Stage,H,South Korea,Ghana,2-3,2,3,False,False,False,,,Ghana,Anthony Taylor,Education City Stadium,"43,983",28 November 2022(2022-11-28),16:00
Quatar 2022,Group Stage,H,Portugal,Uruguay,2-0,2,0,False,False,False,,,Portugal,Alireza Faghani,Lusail Stadium,"88,668",28 November 2022(2022-11-28),22:00
Quatar 2022,Group Stage,H,Ghana,Uruguay,0-2,0,2,False,False,False,,,Uruguay,Daniel Siebert,Al Janoub Stadium,"43,443",2 December 2022(2022-12-02),18:00
Quatar 2022,Group Stage,H,South Korea,Portugal,2-1,2,1,False,False,False,,,South Korea,Facundo Tello,Education City Stadium,"44,097",2 December 2022(2022-12-02),18:00
Quatar 2022,Round of 16,NaN,Netherlands,United States,3-1,3,1,False,False,False,,,Netherlands,Wilton Sampaio,Khalifa International Stadium,"44,846",3 December 2022(2022-12-03),18:00
Quatar 2022,Round of 16,NaN,Argentina,Australia,2-1,2,1,False,False,False,,,Argentina,Szymon Marciniak,Ahmad bin Ali Stadium,"45,032",3 December 2022(2022-12-03),22:00
Quatar 2022,Round of 16,NaN,France,Poland,3-1,3,1,False,False,False,,,France,Jesús Valenzuela,Al Thumama Stadium,"40,989",4 December 2022(2022-12-04),18:00
Quatar 2022,Round of 16,NaN,England,Senegal,3-0,3,0,False,False,False,,,England,Iván Barton,Al Bayt Stadium,"65,985",4 December 2022(2022-12-04),22:00
Quatar 2022,Round of 16,NaN,Japan,Croatia,1-1(a.e.t.),1,1,True,False,True,1,3,Croatia,Ismail Elfath,Al Janoub Stadium,"42,523",5 December 2022(2022-12-05),18:00
Quatar 2022,Round of 16,NaN,Brazil,South Korea,4-1,4,1,False,False,False,,,Brazil,Clément Turpin,Stadium 974,"43,847",5 December 2022(2022-12-05),22:00
Quatar 2022,Round of 16,NaN,Morocco,Spain,0-0(a.e.t.),0,0,True,False,True,3,0,Morocco,Fernando Rapallini,Education City Stadium,"44,667",6 December 2022(2022-12-06),18:00
Quatar 2022,Round of 16,NaN,Portugal,Switzerland,6-1,6,1,False,False,False,,,Portugal,César Arturo Ramos,Lusail Stadium,"83,720",6 December 2022(2022-12-06),22:00
Quatar 2022,Quarter-finals,NaN,Croatia,Brazil,1-1(a.e.t.),1,1,True,False,True,4,2,Croatia,Michael Oliver,Education City Stadium,"43,893",9 December 2022(2022-12-09),18:00
Quatar 2022,Quarter-finals,NaN,Netherlands,Argentina,2-2(a.e.t.),2,2,True,False,True,3,4,Argentina,Antonio Mateu Lahoz,Lusail Stadium,"88,235",9 December 2022(2022-12-09),22:00
Quatar 2022,Quarter-finals,NaN,Morocco,Portugal,1-0,1,0,False,False,False,,,Morocco,Facundo Tello,Al Thumama Stadium,"44,198",10 December 2022(2022-12-10),18:00
Quatar 2022,Quarter-finals,NaN,England,France,1-2,1,2,False,False,False,,,France,Wilton Sampaio,Al Bayt Stadium,"68,895",10 December 2022(2022-12-10),22:00
Quatar 2022,Semi-finals,NaN,Argentina,Croatia,3-0,3,0,False,False,False,,,Argentina,Daniele Orsato,Lusail Stadium,"88,966",13 December 2022(2022-12-13),22:00
Quatar 2022,Semi-finals,NaN,France,Morocco,2-0,2,0,False,False,False,,,France,César Arturo Ramos,Al Bayt Stadium,"68,294",14 December 2022(2022-12-14),22:00
Quatar 2022,Third Place Match,NaN,Croatia,Morocco,2-1,2,1,False,False,False,,,Croatia,Abdulrahman Al-Jassim,Khalifa International Stadium,"44,137",17 December 2022(2022-12-17),18:00
Quatar 2022,Final,NaN,Argentina,France,3-3(a.e.t.),3,3,True,False,True,4,2,Argentina,Szymon Marciniak,Lusail Stadium,"88,966",18 December 2022(2022-12-18),18:00
