Tournament_ID,Year,Host
URU-30,1930,Uruguay
ITA-34,1934,Italy
FRA-38,1938,France
BRA-50,1950,Brazil
SWI-54,1954,Switzerland
SWE-58,1958,Sweden
CHI-62,1962,Chile
ENG-66,1966,England
MEX-70,1970,Mexico
WES-74,1974,West Germany
ARG-78,1978,Argentina
SPA-82,1982,Spain
MEX-86,1986,Mexico
ITA-90,1990,Italy
USA-94,1994,USA
FRA-98,1998,France
KOR-02,2002,Korea/Japan
GER-06,2006,Germany
SOU-10,2010,South Africa
BRA-14,2014,Brazil
RUS-18,2018,Russia
QUA-22,2022,Quatar
